Postal Code	x	y	inseecode	place	population	density
1290	-0.11000364	0.74791694	1136	Cruzilles-lés-Mépillat	580	49
1370	-0.103847146	0.74865067	1137	Cuisiat	0	0
1350	-0.09992154	0.7402958	1138	Culoz	2639	136
1560	-0.106294654	0.7518701	1139	Curciat-Dongalon	449	19
1310	-0.10750471	0.7484944	1140	Curtafond	422	34
1120	-0.10857074	0.74129105	1142	Dagneux	3317	499
1220	-0.09474695	0.74881655	1143	Divonne-les-Bains	5580	165
1380	-0.10844417	0.7499275	1144	Dommartin	537	31
1240	-0.10651842	0.7448581	1145	Dompierre-sur-Veyle	828	28
1400	-0.10998065	0.7464471	1146	Dompierre-sur-Chalaronne	268	56
1270	-0.10460766	0.75079143	1147	Domsure	436	29
1590	-0.10042429	0.7485545	1148	Dortan	2107	116
1500	-0.10468327	0.7431779	1149	Douvres	606	115
1250	-0.10421412	0.7472273	1150	Drom	146	19
1160	-0.1051166	0.74469364	1151	Druillat	823	40
1170	-0.09603587	0.7480747	1153	échenevex	997	61
1340	-0.10617111	0.74950886	1154	étrez	510	42
1230	-0.10312771	0.74255943	1155	évosges	101	8
1800	-0.10786422	0.74208605	1156	Faramans	482	43
1480	-0.11183032	0.7446212	1157	Fareins	1545	188
1550	-0.09771499	0.7456193	1158	Farges	559	39
1570	-0.10975601	0.74994034	1159	Feillens	2624	176
1210	-0.09516068	0.7468102	1160	Ferney-Voltaire	6408	1341
1260	-0.10116846	0.7418987	1161	Fitignieu	0	0
1350	-0.10058946	0.73978394	1162	Flaxieu	53	19
1340	-0.10610265	0.75008744	1163	Foissiat	1481	37
1090	-0.11132265	0.74543846	1165	Amareins Francheleins Ces	826	61
1480	-0.11170152	0.7440186	1166	Frans	1549	194
1140	-0.11063788	0.7477013	1167	Garnerans	484	56
1090	-0.11141548	0.74633026	1169	Genouilleux	320	78
1460	-0.10184993	0.7466634	1170	Géovreissiat	455	97
1100	-0.101352386	0.7474865	1171	Géovreisset	450	129
1250	-0.103016324	0.74884814	1172	Germagnat	86	9
1170	-0.09560599	0.7483217	1173	Gex	6615	207
1130	-0.09938754	0.74697423	1174	Giron	88	9
1190	-0.10878387	0.75128895	1175	Gorrevod	512	74
1260	-0.10097436	0.7436348	1176	Le Grand-Abergement	96	3
1250	-0.1034485	0.7468457	1177	Grand-Corent	104	15
1580	-0.10258325	0.747333	1178	Granges	0	0
1290	-0.110331744	0.748544	1179	Griéges	1606	108
1220	-0.09500756	0.74825823	1180	Grilly	634	85
1810	-0.101417616	0.7469078	1181	Groissiat	611	97
1680	-0.10279924	0.7382741	1182	Groslée	286	39
1090	-0.11145123	0.74604136	1183	Guéreins	995	221
1250	-0.10373159	0.7461454	1184	Hautecourt Romanéche	588	27
1110	-0.1019068	0.7425675	1185	Hauteville-Lompnes	3895	77
1110	-0.10284121	0.7415013	1186	Hostias	56	5
1260	-0.100838415	0.74303365	1187	Hotonnes	268	9
1140	-0.11007441	0.7473388	1188	Illiat	396	19
1200	-0.09953876	0.7437683	1189	Injoux Génissiat	940	32
1680	-0.10266833	0.73943096	1190	Innimond	81	6
1430	-0.1025783	0.74381554	1191	Izenave	130	10
1580	-0.102016956	0.7469755	1192	Izernore	1170	56
1300	-0.10212225	0.7370264	1193	Izieu	161	21
1480	-0.112102345	0.7440683	1194	Jassans-Riottier	4609	958
1250	-0.10461354	0.7472737	1195	Jasseron	1079	57
1340	-0.10689892	0.75018203	1196	Jayat	650	40
1250	-0.10474813	0.7461165	1197	Journans	286	118
1800	-0.10796148	0.74297726	1198	Joyeux	171	10
1640	-0.10398146	0.7439761	1199	Jujurieux	1602	104
1450	-0.10304743	0.74504125	1200	Labalme	120	14
1150	-0.10505174	0.7417551	1202	Lagnieu	5686	209
1290	-0.10993289	0.74849504	1203	Laiz	806	78
1130	-0.10014767	0.74559337	1204	Lalleyriat	191	13
1200	-0.09877873	0.7451493	1205	Lancrans	815	84
1430	-0.10254544	0.7441048	1206	Lantenay	235	36
1330	-0.10949647	0.74374855	1207	Lapeyrouse	207	10
1350	-0.10021866	0.73945004	1208	Lavours	108	17
1200	-0.098241195	0.744505	1209	Léaz	461	40
1410	-0.09706471	0.7478923	1210	Lélex	232	13
1240	-0.10641594	0.74572575	1211	Lent	1043	33
1560	-0.10643208	0.7507131	1212	Lescheroux	527	26
1150	-0.10562075	0.7421145	1213	Leyment	822	58
1450	-0.103115134	0.7462213	1214	Leyssard	113	12
1680	-0.10313692	0.7388984	1216	Lhuis	587	24
1260	-0.10093527	0.7421656	1217	Lilignod	0	0
1260	-0.10056574	0.74183154	1218	Lochieu	69	10
1680	-0.103239715	0.73978883	1219	Lompnas	137	11
1260	-0.10130453	0.74249977	1221	Lompnieu	97	9
1800	-0.10639007	0.7424978	1223	Loyes	0	0
1360	-0.10713303	0.73965424	1224	Loyettes	2256	106
1090	-0.111722864	0.745488	1225	Lurcy	199	41
1260	-0.10123316	0.7413201	1226	Luthézieu	0	0
1300	-0.10085512	0.73922765	1227	Magnieu	290	47
1430	-0.10218101	0.7455286	1228	Maillat	623	55
1340	-0.10660386	0.749267	1229	Malafretaz	624	68
1560	-0.10719321	0.7510971	1230	Mantenay-Montlin	256	24
1570	-0.10952157	0.7502051	1231	Manziat	1482	117
1851	-0.10537424	0.749415	1232	Marboz	2026	50
1680	-0.10286978	0.7394538	1233	Marchamp	106	8
1300	-0.10082296	0.73951703	1234	Marignieu	138	39
1240	-0.108120166	0.7450487	1235	Marlieux	633	38
1340	-0.10756544	0.749675	1236	Marsonnas	728	40
1810	-0.101417616	0.7469078	1237	Martignat	1003	76
1600	-0.11124245	0.7427886	1238	Massieux	1782	575
1300	-0.10031452	0.7385822	1239	Massignieu-de-Rives	412	43
1580	-0.101718955	0.74782085	1240	Matafelon-Granges	406	19
1370	-0.10434667	0.747829	1241	Meillonnas	1051	59
1450	-0.10371455	0.7445314	1242	Mérignat	85	27
1800	-0.10685989	0.74196684	1244	Meximieux	6230	453
1250	-0.10398162	0.7457345	1245	Bohas-Meyriat-Rignat	657	28
1660	-0.10817257	0.74798805	1246	Mézériat	1995	104
1170	-0.096341684	0.7489862	1247	Mijoux	258	12
1390	-0.11007333	0.7423522	1248	Mionnay	1103	56
1600	-0.11130065	0.74396914	1250	Misérieux	1224	165
1280	-0.09532982	0.74712086	1251	Moéns	0	0
1140	-0.11098001	0.74656975	1252	Mogneneins	491	57
1800	-0.10615535	0.7427634	1253	Mollon	0	0
1250	-0.10531415	0.7464758	1254	Montagnat	1173	85
1470	-0.10384379	0.73985785	1255	Montagnieu	356	57
1200	-0.09911537	0.7457723	1257	Montanges	248	18
1090	-0.111251235	0.7460167	1258	Montceaux	672	67
1310	-0.10724373	0.74729013	1259	Montcet	420	63
1800	-0.108397454	0.7427362	1260	Le Montellier	170	11
1390	-0.1099678	0.74321926	1261	Monthieux	344	32
1120	-0.10877177	0.7413152	1262	Montluel	5954	148
1090	-0.11168703	0.7457771	1263	Montmerle-sur-Saéne	2596	624
1310	-0.107278205	0.747001	1264	Montracol	551	38
1340	-0.10676871	0.7495798	1266	Montrevel-en-Bresse	1973	192
1300	-0.101750635	0.73669183	1268	Murs-et-Gélignieux	188	29
1460	-0.10134804	0.7457276	1269	Nantua	3602	282
1580	-0.102649264	0.74675417	1270	Napt	0	0
1300	-0.10034648	0.7382928	1271	Nattages	322	31
1400	-0.10871136	0.74687976	1272	Neuville-les-Dames	1141	43
1160	-0.10448223	0.74491316	1273	Neuville-sur-Ain	1151	58
1130	-0.10118049	0.7454157	1274	Les Neyrolles	615	65
1120	-0.10860539	0.741002	1276	Niévroz	1061	101
1230	-0.103880785	0.74308527	1277	Nivollet-Montgriffon	66	8
1200	-0.09941114	0.744926	1278	Ochiaz	0	0
1230	-0.10354575	0.7424607	1279	Oncieu	68	9
1510	-0.10297265	0.7403444	1280	Ordonnaz	115	8
1210	-0.095299125	0.74741054	1281	Ornex	2263	401
1430	-0.10231223	0.74437124	1282	Outriaz	275	47
1100	-0.10055373	0.7473968	1283	Oyonnax	23869	663
1190	-0.10925199	0.75075907	1284	Ozan	408	62
1600	-0.11144314	0.74281335	1285	Parcieux	784	250
1300	-0.100516155	0.7386045	1286	Parves	286	52
1260	-0.100766666	0.74185383	1287	Passin	0	0
1630	-0.09745228	0.7461766	1288	Péron	1202	46
1960	-0.10627933	0.74688244	1289	Péronnas	5352	305
1800	-0.10706077	0.74199057	1290	Pérouges	851	45
1540	-0.108771175	0.7480603	1291	Perrex	714	64
1260	-0.10117486	0.74365723	1292	Le Petit-Abergement	141	5
1430	-0.10254824	0.7458634	1293	Peyriat	154	26
1140	-0.111015625	0.7462809	1295	Peyzieux-sur-Saéne	245	28
1270	-0.10467522	0.7502128	1296	Pirajoux	304	23
1120	-0.10830054	0.74184495	1297	Pizay	433	39
1130	-0.0998834	0.7461501	1298	Plagne	73	12
1330	-0.10802377	0.74415743	1299	Le Plantay	344	17
1130	-0.10034776	0.7456156	1300	Le Poizat	270	15
1310	-0.10694078	0.7481339	1301	Polliat	2025	101
1350	-0.1004201	0.7394723	1302	Pollieu	108	29
1450	-0.10408176	0.74486685	1303	Poncin	1229	62
1160	-0.10494996	0.7443812	1304	Pont-d'Ain	2258	201
1190	-0.108947486	0.75160235	1305	Pont-de-Vaux	1913	254
1290	-0.10989753	0.748784	1306	Pont-de-Veyle	1421	732
1460	-0.101915404	0.74608475	1307	Port	773	182
1550	-0.09737739	0.7449969	1308	Pougny	600	77
1250	-0.10318243	0.7491603	1309	Pouillat	38	6
1300	-0.10185546	0.73758227	1310	Prémeyzel	190	25
1110	-0.10250467	0.7408772	1311	Prémillieu	40	5
1370	-0.10378025	0.74922925	1312	Pressiat	155	26
1280	-0.095560275	0.7468526	1313	Prévessin-Moens	3723	308
1160	-0.10565247	0.7435838	1314	Priay	948	60
1510	-0.10159622	0.7398962	1316	Pugieu	123	25
1250	-0.104447424	0.7469611	1317	Ramasse	189	19
1390	-0.110734746	0.7436061	1318	Rancé	410	43
1990	-0.10948629	0.745507	1319	Relevant	327	26
1620	-0.10982676	0.74936223	1320	Replonges	2687	162
1250	-0.104714476	0.74640584	1321	Revonnas	438	57
1600	-0.11140752	0.74310225	1322	Reyrieux	3057	195
1190	-0.109146215	0.75162655	1323	Reyssouze	709	74
1250	-0.10434819	0.7460701	1324	Rignat	0	0
1800	-0.10699234	0.74256885	1325	Rignieux-le-Franc	743	49
1250	-0.103481755	0.74655646	1327	Romanéche	0	0
1400	-0.108416155	0.7459642	1328	Romans	480	22
1510	-0.10216762	0.7402533	1329	Rossillon	103	13
1260	-0.10103906	0.74305606	1330	Ruffieu	144	10
1450	-0.10344783	0.74508715	1331	Saint-Alban	122	15
1380	-0.10942824	0.7493136	1332	Saint-André-de-Bégé	437	162
1390	-0.109837405	0.74261683	1333	Saint-André-de-Corcy	2547	123
1290	-0.109604485	0.74786824	1334	Saint-André-d'Huiriat	368	41
1240	-0.10781615	0.7458922	1335	Saint-André-le-Bouchoux	171	18
1240	-0.10794683	0.7464943	1336	Saint-André-sur-Vieux-Jonc	979	40
1190	-0.108549975	0.751554	1337	Saint-Bénigne	823	50
1300	-0.10263019	0.73796225	1338	Saint-Benoét	488	23
1300	-0.102024846	0.7378941	1340	Saint-Bois	113	12
1300	-0.10065364	0.7392053	1341	Saint-Champ-Chatonod	143	28
1380	-0.10870121	0.7486384	1343	Saint-Cyr-sur-Menthon	1243	73
1000	-0.106245175	0.7471716	1344	Saint-Denis-lés-Bourg	4145	329
1500	-0.105151765	0.7426461	1345	Saint-Denis-en-Bugey	1780	682
1340	-0.107634775	0.7490967	1346	Saint-Didier-d'Aussiat	594	39
1600	-0.11177303	0.74344075	1347	Saint-Didier-de-Formans	1288	197
1140	-0.11090874	0.7471479	1348	Saint-Didier-sur-Chalaronne	2065	83
1800	-0.10739383	0.7426164	1349	Saint-éloi	358	25
1370	-0.105077304	0.7485005	1350	Saint-étienne-du-Bois	1982	70
1140	-0.11034496	0.7467851	1351	Saint-étienne-sur-Chalaronne	1037	49
1190	-0.10822234	0.7509276	1352	Saint-étienne-sur-Reyssouze	376	27
1600	-0.11173729	0.7437296	1353	Sainte-Euphémie	857	186
1630	-0.09635944	0.74693775	1354	Saint-Genis-Pouilly	5696	583
1380	-0.10826753	0.74887943	1355	Saint-Genis-sur-Menthon	324	28
1400	-0.10845094	0.7456752	1356	Saint-Georges-sur-Renon	126	22
1130	-0.0998834	0.7461501	1357	Saint-Germain-de-Joux	465	41
1300	-0.102096505	0.7390736	1358	Saint-Germain-les-Paroisses	273	17
1240	-0.10828562	0.7453619	1359	Saint-Germain-sur-Renon	190	12
1630	-0.09722105	0.74644464	1360	Saint-Jean-de-Gonville	1001	81
1800	-0.10679531	0.7407868	1361	Saint-Jean-de Niost	810	57
1390	-0.1105696	0.7432926	1362	Saint-Jean-de-Thurigneux	504	31
1560	-0.10742672	0.75083184	1364	Saint-Jean-sur-Reyssouze	541	20
1290	-0.109533995	0.74844635	1365	Saint-Jean-sur-Veyle	926	83
1150	-0.10588925	0.7415597	1366	Sainte-Julie	529	47
1560	-0.10682995	0.7507605	1367	Saint-Julien-sur-Reyssouze	532	71
1540	-0.10924047	0.7475304	1368	Saint-Julien-sur-Veyle	522	53
1620	-0.11042445	0.74943566	1370	Saint-Laurent-sur-Saéne	1710	3226
1510	-0.101128966	0.74042976	1372	Saint-Martin-de-Bavel	327	38
1430	-0.10218101	0.7455286	1373	Saint-Martin-du-Fréne	971	51
1160	-0.10484903	0.745249	1374	Saint-Martin-du-Mont	1179	42
1310	-0.10707133	0.748736	1375	Saint-Martin-le-Chétel	555	43
1700	-0.109811865	0.7411475	1376	Saint-Maurice-de-Beynost	3468	496
1800	-0.1070306	0.7405215	1378	Saint-Maurice-de-Gourdans	1575	62
1500	-0.10575394	0.7427163	1379	Saint-Maurice-de-Rémens	613	59
1560	-0.10632902	0.75158083	1380	Saint-Nizier-le-Bouchoux	625	22
1320	-0.10715344	0.74464023	1381	Saint-Nizier-le-Désert	484	19
1330	-0.109827116	0.74437517	1382	Sainte-Olive	196	27
1240	-0.10725049	0.74553156	1383	Saint-Paul-de-Varax	1081	42
1230	-0.10394728	0.7425068	1384	Saint-Rambert-en-Bugey	2112	74
1310	-0.10667889	0.7469297	1385	Saint-Rémy	668	91
1150	-0.10488431	0.7414427	1386	Saint-Sorlin-en-Bugey	832	92
1560	-0.107089356	0.7519648	1388	Saint-Trivier-de-Courtes	1064	64
1990	-0.11012188	0.745291	1389	Saint-Trivier-sur-Moignans	1471	35
1150	-0.10599071	0.7406924	1390	Saint-Vulbas	710	33
1270	-0.104111604	0.7498541	1391	Salavre	246	32
1580	-0.10155205	0.747509	1392	Samognat	285	20
1400	-0.10912109	0.7451693	1393	Sandrans	346	12
1150	-0.10434789	0.7407947	1396	Sault-Brénaz	1014	181
1220	-0.09503818	0.7479687	1397	Sauverny	1067	565
1480	-0.110864274	0.74420875	1398	Savigneux	792	54
1170	-0.095468014	0.7477214	1399	Ségny	1211	374
1470	-0.10364244	0.7398348	1400	Seillonnaz	120	13
1630	-0.09655921	0.7469592	1401	Sergy	1201	127
1190	-0.108211234	0.7526866	1402	Sermoyer	522	31
1450	-0.10334828	0.7459548	1404	Serriéres-sur-Ain	71	9
1240	-0.10678175	0.7460621	1405	Servas	879	67
1560	-0.10735737	0.7514102	1406	Servignat	136	17
1250	-0.10361494	0.74715817	1408	Simandre-sur-Suran	574	35
1260	-0.100702226	0.7424325	1409	Songieu	101	5
1580	-0.10218386	0.74728745	1410	Sonthonnax-la-Montagne	242	17
1150	-0.10431459	0.74108386	1411	Souclin	197	15
1400	-0.109110914	0.7469281	1412	Sulignat	434	40
1420	-0.09940195	0.74316734	1413	Surjoux	70	16
1260	-0.10133693	0.74221057	1414	Sutrieu	209	11
1510	-0.10069436	0.74067426	1415	Talissieu	401	84
1230	-0.10321018	0.7418363	1416	Tenay	1356	103
1110	-0.102069825	0.74112105	1417	Thézillieu	297	11
1120	-0.10924352	0.7407856	1418	Thil	769	149
1140	-0.11110847	0.74717253	1420	Thoissey	1306	975
1230	-0.10441554	0.7419746	1421	Torcieu	569	53
1250	-0.10498179	0.74585056	1422	Tossiat	979	96
1600	-0.11113578	0.7436554	1423	Toussieux	437	92
1390	-0.109741785	0.74172544	1424	Tramoyes	1136	88
1160	-0.10561571	0.7456316	1425	La Trancliére	254	17
1600	-0.112009384	0.74317664	1427	Trévoux	6092	1067
1140	-0.110415824	0.7462072	1428	Valeins	61	14
1660	-0.10760851	0.7476271	1429	Vandeins	415	44
1160	-0.10518399	0.7441154	1430	Varambon	353	44
1150	-0.10501816	0.7420443	1431	Vaux-en-Bugey	881	107
1270	-0.1041452	0.74956465	1432	Verjon	235	46
1560	-0.10665753	0.75220656	1433	Vernoux	148	15
1330	-0.10789242	0.7435554	1434	Versailleux	219	12
1170	-0.09537577	0.7485901	1436	Vesancy	363	34
1560	-0.10768532	0.7520364	1437	Vescours	184	15
1570	-0.10991966	0.7502538	1439	Vésines	108	28
1100	-0.100888096	0.74802035	1440	Veyziat	0	0
1430	-0.1024797	0.7446834	1441	Vieu-d'Izenave	524	22
1260	-0.10103213	0.74129754	1442	Vieu	293	45
1330	-0.10886016	0.74396485	1443	Villars-les-Dombes	3415	139
1150	-0.10414676	0.7407716	1444	Villebois	924	64
1270	-0.104543574	0.749611	1445	Villemotier	419	30
1250	-0.10408132	0.7466256	1447	Villereversure	1003	57
1200	-0.09947495	0.7443471	1448	Villes	226	25
1440	-0.10594315	0.74801576	1451	Viriat	4701	104
1510	-0.1015314	0.74047476	1452	Virieu-le-Grand	922	73
1260	-0.10063006	0.74125284	1453	Virieu-le-Petit	279	17
1300	-0.10098372	0.7380705	1454	Virignin	550	70
1460	-0.10248236	0.74644214	1455	Volognat	0	0
1350	-0.10079081	0.7398063	1456	Vongnes	92	45
1540	-0.10860658	0.7477471	1457	Vonnas	2381	134
1200	-0.09941114	0.744926	1458	Vouvray	0	0
1360	-0.10776657	0.741195	1909	La Valbonne	0	0
1120	-0.10756551	0.7411711	1910	Chénes	0	0
1800	-0.10749685	0.74174917	1911	Marfoz	0	0
1700	-0.11001293	0.74117196	1912	Le Mas Rillier	0	0
2300	-0.121809065	0.8092183	2001	Abbécourt	467	78
2800	-0.11937105	0.8103414	2002	Achery	564	82
2200	-0.11982175	0.8045097	2003	Acy	985	84
2340	-0.11297574	0.8100425	2004	Agnicourt-et-Séchelles	209	19
2190	-0.113530755	0.80452216	2005	Aguilcourt	328	31
2110	-0.11708961	0.8144398	2006	Aisonville-et-Bernoville	216	25
2820	-0.11501564	0.80619633	2007	Aizelles	81	17
2240	-0.11939153	0.8115236	2009	Alaincourt	521	88
2320	-0.11916088	0.8064794	2010	Allemant	136	27
2290	-0.1223551	0.80546385	2011	Ambleny	1119	65
2200	-0.12009108	0.8039585	2012	Ambrief	91	20
2190	-0.1138958	0.80604386	2013	Amifontaine	351	13
2700	-0.12050726	0.80902994	2014	Amigny-Rouy	693	53
2600	-0.12240024	0.80252147	2015	Ancienville	34	9
2800	-0.11968064	0.8095011	2016	Andelain	163	56
2800	-0.11881391	0.8102621	2017	Anguilcourt-le-Sart	278	30
2320	-0.11907896	0.8070571	2018	Anizy-le-Chéteau	1896	200
2480	-0.12170052	0.81126696	2019	Annois	372	63
2500	-0.10962435	0.8125405	2020	Any-Martin-Rieux	525	30
2360	-0.11106017	0.8102278	2021	Archon	87	14
2130	-0.1195062	0.8026964	2022	Arcy-Sainte-Restitue	328	12
2210	-0.12060806	0.801674	2023	Armentiéres-sur-Ourcq	85	12
2860	-0.115762085	0.80629885	2024	Arrancy	42	8
2480	-0.121388994	0.81210655	2025	Artemps	347	55
2330	-0.119340315	0.79707366	2026	Artonges	134	10
2270	-0.11732797	0.81005234	2027	Assis-sur-Serre	257	32
2840	-0.11630805	0.8078473	2028	Athies-sous-Laon	2124	138
2490	-0.121363945	0.81357753	2029	Attilly	401	34
2420	-0.1197954	0.8165942	2030	Aubencheul-aux-Bois	275	130
2500	-0.109922	0.8116964	2031	Aubenton	826	35
